flux,species_id_stage_id,M,N,node_type,working_name,organismal_group,consumer_strategy_stage,TL,OI,org_type,con_type
0.053184641754393025,238.4,1.569999999999999e-8,1039152.8662420384,life stage,Cloacitrema michiganiensis,trematode,nonfeeding,3.973144133323616,1.89401900844438,para,para
0.13856791716824304,245.4,7.2359999999999994e-9,5874311.669999996,life stage,Himasthla rhigedana,trematode,nonfeeding,3.7298580999927173,1.5980785383749379,para,para
0.012442142496275885,266.4,1.569999999999999e-8,243101.9108280259,life stage,Parorchis acanthus,trematode,nonfeeding,3.9731441333236144,1.8940190084443798,para,para
0.042460712513510655,233.4,4.650000000000008e-9,194684.03000000012,life stage,Acanthoparyphium spinulosum,trematode,trophically transmitted parasite,3.4160746812385945,0.24609420050032807,para,para
1.0009447013120091e-6,234.4,1.2637000000000017e-8,24.370000000000005,life stage,microphallid-assiminea,trematode,trophically transmitted parasite,5.919432399970874,3.1554436208840472e-30,para,para
0.062200310040586244,239.4,1.380000000000002e-9,72146131.3,life stage,Euhaplorchis californiensis,trematode,trophically transmitted parasite,3.8993718634995,4.930380657631324e-28,para,para
0.003924731932438655,240.4,1.699999999999998e-9,1528628.8700000008,life stage,fat cyathocotylid,trematode,trophically transmitted parasite,4.057583213919925,0.48708755651106717,para,para
0.029273723028662837,241.4,1.8698999999999996e-7,126043.08000000002,life stage,Galactosomum humbargari,trematode,trophically transmitted parasite,4.267131890887604,0.37442355640859104,para,para
0.0014160659178429592,244.4,3.3700000000000044e-8,19243.32344213647,life stage,hemiurid,trematode,trophically transmitted parasite,2.999999999999998,9.159907704780355e-28,para,para
0.46199160761246266,246.4,1.0339999999999994e-8,963229.4599999995,life stage,Himasthla B,trematode,trophically transmitted parasite,3.3746812386156426,0.07020739811745967,para,para
1.2402859542556686,247.4,4.4499999999999955e-6,127640.44943820233,life stage,Hysterolecitha trilocalis,trematode,trophically transmitted parasite,2.9999999999999942,7.179866832675615e-28,para,para
1.0415781693309056e-4,248.4,2.9000000000000038e-8,1644.8275862068954,life stage,Lecisthaster sp.,trematode,trophically transmitted parasite,2.999999999999989,4.683122067651113e-28,para,para
0.03048266550634757,250.4,1.47e-9,447091.0899999999,life stage,Renicola sp.,trematode,trophically transmitted parasite,3.4160746812385865,0.24609420050033015,para,para
0.00639788373340675,254.4,6.999999999999993e-9,480124.12000000005,life stage,mc sphere,trematode,trophically transmitted parasite,2.9999999999999845,1.262177448353619e-29,para,para
1.7840382934438442e-4,256.4,1.0900000000000012e-8,8597.91,life stage,mc unk Bittium,trematode,trophically transmitted parasite,2.9999999999999867,1.7749370367472766e-30,para,para
0.08105994407710031,257.4,1.0339999999999994e-8,296069.61999999994,life stage,mc unk lg-cirriformia,trematode,trophically transmitted parasite,3.00000000000001,5.69952004022181e-29,para,para
0.00579007979211881,259.4,5.390000000000004e-9,378684.92999999964,life stage,mc unk pericaridean,trematode,trophically transmitted parasite,2.999999999999984,1.4597624532081942e-28,para,para
0.02925411841616068,260.4,1.47e-9,432635.52999999985,life stage,mc unk poly,trematode,trophically transmitted parasite,2.9999999999999774,1.9225855028411425e-27,para,para
1.9512545125756085e-6,262.4,1.47e-9,952.56,life stage,mc vs,trematode,trophically transmitted parasite,5.919432399970875,7.888609052210118e-31,para,para
0.0014609166312397593,263.4,1.5799999999999999e-7,6169.359999999998,life stage,mega het,trematode,trophically transmitted parasite,4.321205954927833,0.3945768859969446,para,para
0.17618365723703827,265.4,1.9799999999999972e-8,5891710.660000001,life stage,Mesostephanus appendiculatus,trematode,trophically transmitted parasite,4.057583213919923,0.48708755651106717,para,para
0.0032506280355256343,268.4,1.4100000000000007e-9,1526473.0599999987,life stage,Phocitremoides ovale,trematode,trophically transmitted parasite,4.057583213919923,0.48708755651106717,para,para
0.08922305988315571,269.4,5.390000000000004e-9,5093048.099999998,life stage,Probolocoryphe species A,trematode,trophically transmitted parasite,5.919432399970876,0,para,para
0.005329147182580748,271.4,1.300000000000002e-10,27142843.499999963,life stage,Pygidiopsoides spindalis,trematode,trophically transmitted parasite,4.057583213919925,0.48708755651106717,para,para
0.0037056505653776293,272.4,3.740000000000006e-9,656045.3199999996,life stage,Renicola buchanani,trematode,trophically transmitted parasite,3.9106649505830227,0.38399168434006986,para,para
1.3889482328349329e-5,273.4,2.1999999999999994e-9,10105.620000000003,life stage,Renicola cerithidicola,trematode,trophically transmitted parasite,4.554276355678844,0.428899893876702,para,para
0.005595478855328336,274.4,6.539999999999997e-9,267325.41000000015,life stage,renic,trematode,trophically transmitted parasite,3.0000000000000013,6.173658313464021e-28,para,para
0.07630459334672685,275.4,8.320000000000008e-10,60725113.5999999,life stage,small cyathocotylid,trematode,trophically transmitted parasite,4.057583213919921,0.48708755651106717,para,para
0.053598064454765934,276.4,6.59200000000001e-9,2853581.169999999,life stage,Maritrema sp.,trematode,trophically transmitted parasite,3.000000000000006,1.1438483125704671e-29,para,para
0.008975101030231325,277.4,3.3700000000000006e-9,1763398.329999999,life stage,Stictodora hancocki,trematode,trophically transmitted parasite,4.057583213919923,0.48708755651106717,para,para
0.0019115773107148935,279.4,3.0899999999999995e-9,409613.6000000001,life stage,unk a/sm meso,trematode,trophically transmitted parasite,4.057583213919924,0.48708755651106717,para,para
5.0877927348868094e-5,283.2,3.9999999999999935e-8,582.5000000000008,life stage,Glossocercus sp.,cestode,trophically transmitted parasite,2.999999999999997,8.64123165959754e-28,animal,para
5.917561507100108e-5,287.2,9.740000000000008e-7,27.82340862422995,life stage,tetraphyllidean-fish,cestode,trophically transmitted parasite,2.9999999999999916,5.860496968693473e-28,animal,para
4.8912685519941867e-5,288.2,3.099999999999999e-8,722.5806451612904,life stage,trypanorhynch-fish,cestode,trophically transmitted parasite,2.9999999999999982,9.42516218416092e-28,animal,para
0.6633962029008748,290.2,5.170000000000006e-9,58763675.04835589,life stage,trypanorhynch-thalassinidean,cestode,trophically transmitted parasite,2.9999999999999964,8.38781009379529e-28,animal,para
1.4591851803972368e-5,283.3,2.2199999999999992e-7,105.20999999999998,life stage,Glossocercus sp.,cestode,trophically transmitted parasite,3.8993718634995007,5.33269971929404e-28,animal,para
3.131123661756484e-5,287.3,3.6500000000000016e-8,568.0000000000001,life stage,tetraphyllidean-fish,cestode,trophically transmitted parasite,4.151854007739316,0.29611597106910853,animal,para
2.005945418575614e-5,288.3,4.259999999999997e-7,52.6,life stage,trypanorhynch-fish,cestode,trophically transmitted parasite,3.9996859317497457,0.010062912288916242,animal,para
0.28601370590107494,290.3,4.259999999999997e-7,712830.0400000003,life stage,trypanorhynch-thalassinidean,cestode,trophically transmitted parasite,2.999999999999992,1.742593739633215e-27,animal,para
0.04240793011517455,293.1,1.1700000000000002e-6,23999.499999999996,life stage,Spirocamallanus pereirae,nematode,macroparasite,4.120754442282108,0.5247466604132057,para,para
1.5962292570195e-5,294.1,1.9799999999999995e-7,165.36000000000004,life stage,Vasorhabdochona cablei,nematode,macroparasite,5.209180847858166,7.099748146989106e-28,para,para
