PresentAtCSM,PresentAtEPB,PresentAtBSQ,PresentAtAnyEstuary,ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerSpeciesID.StageID,ResourceSpeciesID.StageID,LinkTypeID,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom,...21,...22,...23,...24,...25,...26,...27,...28,...29
1,0,0,1,89,385,65,266,65.1,266.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,386,65,267,65.1,267.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,387,65,268,65.1,268.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,388,65,269,65.1,269.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,390,65,271,65.1,271.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,391,65,272,65.1,272.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,392,65,273,65.1,273.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,393,65,274,65.1,274.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,394,65,275,65.1,275.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,395,65,276,65.1,276.3,16,predation on free-living non-feeding stage,modeled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,396,65,277,65.1,277.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,399,65,279,65.1,279.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,89,400,65,280,65.1,280.3,16,predation on free-living non-feeding stage,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,1,90,12,66,12,66.1,12.1,1,predation,observed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,91,6,67,6,67.1,6.1,1,predation,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,91,12,67,12,67.1,12.1,1,predation,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,91,50,67,25,67.1,25.2,1,predation,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,91,68,67,44,67.1,44.2,1,predation,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,91,101,67,61,67.1,61.2,1,predation,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,91,104,67,64,67.1,64.2,1,predation,inferred,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
